state,year,median_income
Alabama,1994,27196
Alabama,1995,25991
Alabama,1996,30302
Alabama,1997,31939
Alabama,1998,36266
Alabama,1999,36251
Alabama,2000,35424
Alabama,2001,35160
Alabama,2002,37603
Alabama,2003,37255
Alabama,2004,36629
Alabama,2005,37150
Alabama,2006,37952
Alabama,2007,42212
Alabama,2008,44476
Alabama,2009,39980
Alabama,2010,40933
Alabama,2011,42590
Alabama,2012,43464
Alaska,1994,45367
Alaska,1995,47954
Alaska,1996,52779
Alaska,1997,47994
Alaska,1998,50692
Alaska,1999,51396
Alaska,2000,52847
Alaska,2001,57363
Alaska,2002,52774
Alaska,2003,51837
Alaska,2004,55063
Alaska,2005,55891
Alaska,2006,56418
Alaska,2007,62993
Alaska,2008,63989
Alaska,2009,61604
Alaska,2010,57848
Alaska,2011,57431
Alaska,2012,63648
Arizona,1994,31293
Arizona,1995,30863
Arizona,1996,31637
Arizona,1997,32740
Arizona,1998,37090
Arizona,1999,36995
Arizona,2000,39783
Arizona,2001,42704
Arizona,2002,39734
Arizona,2003,41166
Arizona,2004,43846
Arizona,2005,45245
Arizona,2006,46657
Arizona,2007,47215
Arizona,2008,46914
Arizona,2009,45739
Arizona,2010,46896
Arizona,2011,48621
Arizona,2012,47044
Arkansas,1994,25565
Arkansas,1995,25814
Arkansas,1996,27123
Arkansas,1997,26162
Arkansas,1998,27665
Arkansas,1999,29682
Arkansas,2000,29697
Arkansas,2001,33339
Arkansas,2002,32387
Arkansas,2003,32002
Arkansas,2004,34984
Arkansas,2005,36658
Arkansas,2006,37057
Arkansas,2007,40795
Arkansas,2008,39586
Arkansas,2009,36538
Arkansas,2010,38587
Arkansas,2011,41302
Arkansas,2012,39018
California,1994,35331
California,1995,37009
California,1996,38812
California,1997,39694
California,1998,40934
California,1999,43629
California,2000,46816
California,2001,47262
California,2002,47437
California,2003,49300
California,2004,49222
California,2005,51755
California,2006,55319
California,2007,55734
California,2008,57014
California,2009,56134
California,2010,54283
California,2011,53367
California,2012,57020
Colorado,1994,37833
Colorado,1995,40706
Colorado,1996,40950
Colorado,1997,43233
Colorado,1998,46599
Colorado,1999,48177
Colorado,2000,48240
Colorado,2001,49397
Colorado,2002,48294
Colorado,2003,49940
Colorado,2004,50886
Colorado,2005,50449
Colorado,2006,55697
Colorado,2007,61141
Colorado,2008,60943
Colorado,2009,55930
Colorado,2010,60233
Colorado,2011,58629
Colorado,2012,57255
Connecticut,1994,41097
Connecticut,1995,40243
Connecticut,1996,42119
Connecticut,1997,43985
Connecticut,1998,46508
Connecticut,1999,50593
Connecticut,2000,50172
Connecticut,2001,53347
Connecticut,2002,53387
Connecticut,2003,54965
Connecticut,2004,55100
Connecticut,2005,56835
Connecticut,2006,62404
Connecticut,2007,64141
Connecticut,2008,64682
Connecticut,2009,64851
Connecticut,2010,65998
Connecticut,2011,65415
Connecticut,2012,64247
District of Columbia,1994,30116
District of Columbia,1995,30748
District of Columbia,1996,31966
District of Columbia,1997,31860
District of Columbia,1998,33433
District of Columbia,1999,38670
District of Columbia,2000,41222
District of Columbia,2001,41169
District of Columbia,2002,39070
District of Columbia,2003,45044
District of Columbia,2004,43451
District of Columbia,2005,44993
District of Columbia,2006,48477
District of Columbia,2007,50783
District of Columbia,2008,55590
District of Columbia,2009,53141
District of Columbia,2010,56928
District of Columbia,2011,55251
District of Columbia,2012,65246
Delaware,1994,35873
Delaware,1995,34928
Delaware,1996,39309
Delaware,1997,43033
Delaware,1998,41458
Delaware,1999,46628
Delaware,2000,50365
Delaware,2001,49602
Delaware,2002,49650
Delaware,2003,49019
Delaware,2004,48049
Delaware,2005,51235
Delaware,2006,52438
Delaware,2007,54589
Delaware,2008,50702
Delaware,2009,52114
Delaware,2010,55214
Delaware,2011,54660
Delaware,2012,48972
Florida,1994,29294
Florida,1995,29745
Florida,1996,30641
Florida,1997,32455
Florida,1998,34909
Florida,1999,35831
Florida,2000,38856
Florida,2001,36421
Florida,2002,38024
Florida,2003,38972
Florida,2004,40535
Florida,2005,42990
Florida,2006,45676
Florida,2007,45794
Florida,2008,44857
Florida,2009,45631
Florida,2010,44066
Florida,2011,45105
Florida,2012,46071
Georgia,1994,31467
Georgia,1995,34099
Georgia,1996,32496
Georgia,1997,36663
Georgia,1998,38665
Georgia,1999,39425
Georgia,2000,41901
Georgia,2001,42576
Georgia,2002,42939
