state,year,poverty_percent
Alabama,1994,16.4
Alabama,1995,20.1
Alabama,1996,14
Alabama,1997,15.7
Alabama,1998,14.5
Alabama,1999,15.2
Alabama,2000,13.3
Alabama,2001,15.9
Alabama,2002,14.5
Alabama,2003,15
Alabama,2004,16.9
Alabama,2005,16.7
Alabama,2006,14.3
Alabama,2007,14.5
Alabama,2008,14.3
Alabama,2009,16.6
Alabama,2010,17.2
Alabama,2011,15.4
Alabama,2012,16.2
Alaska,1994,10.2
Alaska,1995,7.1
Alaska,1996,8.2
Alaska,1997,8.8
Alaska,1998,9.4
Alaska,1999,7.6
Alaska,2000,7.6
Alaska,2001,8.5
Alaska,2002,8.8
Alaska,2003,9.6
Alaska,2004,9.1
Alaska,2005,10
Alaska,2006,8.9
Alaska,2007,7.6
Alaska,2008,8.2
Alaska,2009,11.7
Alaska,2010,12.5
Alaska,2011,11.7
Alaska,2012,10
Arizona,1994,15.9
Arizona,1995,16.1
Arizona,1996,20.5
Arizona,1997,17.2
Arizona,1998,16.6
Arizona,1999,12.2
Arizona,2000,11.7
Arizona,2001,14.6
Arizona,2002,13.5
Arizona,2003,13.5
Arizona,2004,14.4
Arizona,2005,15.2
Arizona,2006,14.4
Arizona,2007,14.3
Arizona,2008,18
Arizona,2009,21.2
Arizona,2010,18.8
Arizona,2011,17.2
Arizona,2012,19
Arkansas,1994,15.3
Arkansas,1995,14.9
Arkansas,1996,17.2
Arkansas,1997,19.7
Arkansas,1998,14.7
Arkansas,1999,14.7
Arkansas,2000,16.5
Arkansas,2001,17.8
Arkansas,2002,19.8
Arkansas,2003,17.8
Arkansas,2004,15.1
Arkansas,2005,13.8
Arkansas,2006,17.7
Arkansas,2007,13.8
Arkansas,2008,15.3
Arkansas,2009,18.9
Arkansas,2010,15.3
Arkansas,2011,18.7
Arkansas,2012,20.1
California,1994,17.9
California,1995,16.7
California,1996,16.9
California,1997,16.6
California,1998,15.4
California,1999,14
California,2000,12.7
California,2001,12.6
California,2002,13.1
California,2003,13.1
California,2004,13.2
California,2005,13.2
California,2006,12.2
California,2007,12.7
California,2008,14.6
California,2009,15.3
California,2010,16.3
California,2011,16.9
California,2012,15.9
Colorado,1994,9
Colorado,1995,8.8
Colorado,1996,10.6
Colorado,1997,8.2
Colorado,1998,9.2
Colorado,1999,8.5
Colorado,2000,9.8
Colorado,2001,8.7
Colorado,2002,9.8
Colorado,2003,9.7
Colorado,2004,10
Colorado,2005,11.4
Colorado,2006,9.7
Colorado,2007,9.8
Colorado,2008,11
Colorado,2009,12.3
Colorado,2010,12.3
Colorado,2011,13.2
Colorado,2012,11.9
Connecticut,1994,10.8
Connecticut,1995,9.7
Connecticut,1996,11.7
Connecticut,1997,8.6
Connecticut,1998,9.5
Connecticut,1999,7.2
Connecticut,2000,7.7
Connecticut,2001,7.3
Connecticut,2002,8.3
Connecticut,2003,8.1
Connecticut,2004,10.1
Connecticut,2005,9.3
Connecticut,2006,8
Connecticut,2007,8.9
Connecticut,2008,8.1
Connecticut,2009,8.4
Connecticut,2010,8.6
Connecticut,2011,10.1
Connecticut,2012,10.3
Delaware,1994,8.3
Delaware,1995,10.3
Delaware,1996,8.6
Delaware,1997,9.6
Delaware,1998,10.3
Delaware,1999,10.4
Delaware,2000,8.4
Delaware,2001,6.7
Delaware,2002,9.1
Delaware,2003,7.3
Delaware,2004,9
Delaware,2005,9.2
Delaware,2006,9.3
Delaware,2007,9.3
Delaware,2008,9.6
Delaware,2009,12.3
Delaware,2010,12.2
Delaware,2011,13.7
Delaware,2012,13.5
District of Columbia,1994,21.2
District of Columbia,1995,22.2
District of Columbia,1996,24.1
District of Columbia,1997,21.8
District of Columbia,1998,22.3
District of Columbia,1999,14.7
District of Columbia,2000,15.2
District of Columbia,2001,18.2
District of Columbia,2002,17
District of Columbia,2003,16.8
District of Columbia,2004,17
District of Columbia,2005,21.3
