year,state,percentage.Hispanic,percentage.Black,percentage.White
1994,Alabama,0.778174131,25.72218536,72.43127071
1995,Alabama,0.8673431391,25.83403929,72.18346211
1996,Alabama,0.9881088,25.87563165,71.97736281
1997,Alabama,1.131587352,25.99205345,71.68403376
1998,Alabama,1.291778943,26.04060979,71.45540639
1999,Alabama,1.471352718,26.11424783,71.1709853
2000,Alabama,1.729851917,26.11931297,70.82321374
2001,Alabama,1.918733719,26.17266768,70.54304359
2002,Alabama,2.10216806,26.20372051,70.27931811
2003,Alabama,2.297595354,26.22443345,70.00944378
2004,Alabama,2.500348178,26.2537883,69.71301969
2005,Alabama,2.731451342,26.26904211,69.40906669
2006,Alabama,2.977804402,26.34063523,69.03839095
2007,Alabama,3.223992262,26.36388149,68.71885192
2008,Alabama,3.469729808,26.41459487,68.37359369
2009,Alabama,3.709968478,26.42848646,68.05792761
2010,Alabama,3.896297392,26.4777164,67.77861085
2011,Alabama,3.950838327,26.54062007,67.61861348
2012,Alabama,3.957051138,26.63718137,67.46058937
1994,Alaska,3.286546838,4.119786245,73.00052378
1995,Alaska,3.378986519,3.890723546,72.8367405
1996,Alaska,3.461727429,3.786916521,72.38965508
1997,Alaska,3.621069942,3.887152347,71.7543167
1998,Alaska,3.682823277,3.971564623,71.29540014
1999,Alaska,3.840878135,3.983168448,70.83960889
2000,Alaska,4.134479261,3.944499915,70.13295369
2001,Alaska,4.416661144,3.984131643,69.72261935
2002,Alaska,4.66157173,4.037133156,69.35175772
2003,Alaska,4.84520692,3.997137631,69.00144044
2004,Alaska,4.987061761,3.979608243,68.78228872
2005,Alaska,5.161137483,3.932702198,68.48335547
2006,Alaska,5.25764769,3.916321883,68.32069208
2007,Alaska,5.325444657,3.941496399,68.11686021
2008,Alaska,5.41940927,3.95429519,67.84545898
2009,Alaska,5.470349623,3.940649168,67.48653231
2010,Alaska,5.605779021,4.012010683,67.24273876
2011,Alaska,5.838002084,4.09387959,66.80300479
2012,Alaska,6.230705154,4.222194562,66.18113527
1994,Arizona,21.19083958,3.000785143,69.00489012
1995,Arizona,21.77469188,3.040903111,68.34514796
1996,Arizona,22.41237077,3.081269866,67.64769105
1997,Arizona,23.04765262,3.109696242,66.98454082
1998,Arizona,23.81078368,3.146533665,66.22427837
1999,Arizona,24.59712454,3.172623717,65.41144065
2000,Arizona,25.37287432,3.209073543,64.61355358
2001,Arizona,25.92058333,3.278254556,63.98074743
2002,Arizona,26.43383235,3.348081216,63.35410391
2003,Arizona,26.87495781,3.413821664,62.80031591
2004,Arizona,27.2628425,3.50999327,62.28831131
2005,Arizona,27.71566465,3.62110313,61.65828949
2006,Arizona,28.22894671,3.763239241,60.90321988
2007,Arizona,28.75708066,3.891186979,60.16878953
2008,Arizona,29.15223677,4.024401778,59.57319021
2009,Arizona,29.43046945,4.150033248,59.12952768
2010,Arizona,29.70501436,4.220456183,58.74259868
2011,Arizona,29.90161219,4.290861387,58.38031297
2012,Arizona,30.09897958,4.376152927,58.00626417
1994,Arkansas,1.256846881,15.92141038,81.67977068
1995,Arkansas,1.527885749,15.89528907,81.3755547
1996,Arkansas,1.892649184,15.92409186,80.91457244
1997,Arkansas,2.146407852,15.9279379,80.59348196
1998,Arkansas,2.467778679,15.93956339,80.21230718
1999,Arkansas,2.814138001,15.91581004,79.82680081
2000,Arkansas,3.27799572,15.82035012,79.32963188
2001,Arkansas,3.586232724,15.83227788,78.94891125
2002,Arkansas,3.906018159,15.82585192,78.57166878
2003,Arkansas,4.243369094,15.80477361,78.18318742
2004,Arkansas,4.549719495,15.78514783,77.81503052
2005,Arkansas,4.931435329,15.73274862,77.39550257
2006,Arkansas,5.301051365,15.76246181,76.92260259
2007,Arkansas,5.630632054,15.70487775,76.57620276
2008,Arkansas,5.921996943,15.72289127,76.20792652
2009,Arkansas,6.180486827,15.72270227,75.86282722
2010,Arkansas,6.412707756,15.76203929,75.52052622
2011,Arkansas,6.552388456,15.77860536,75.28359482
2012,Arkansas,6.718304394,15.78860502,75.01851265
1994,California,28.75412247,7.051046017,53.02285717
1995,California,29.39198618,7.028051163,52.11688756
1996,California,30.03545663,7.008653095,51.25872166
1997,California,30.65465719,6.971290103,50.4569998
1998,California,31.28117395,6.932610437,49.68430785
1999,California,31.88913384,6.901984895,48.92687599
2000,California,32.52489255,6.854420903,48.13993784
2001,California,33.01665009,6.78733697,47.45898268
2002,California,33.56804227,6.72749645,46.74145556
2003,California,34.12464398,6.666228124,46.03971236
2004,California,34.67523267,6.614903857,45.34707315
2005,California,35.22343161,6.561967568,44.62306139
2006,California,35.74590598,6.517142321,43.91699366
2007,California,36.23777186,6.465155568,43.2698136
2008,California,36.73879683,6.414491266,42.63648868
2009,California,37.22783947,6.373351384,42.0412265
2010,California,37.68573838,6.337403806,41.47052643
2011,California,37.96791086,6.310191287,41.04172585
2012,California,38.1803024,6.285486698,40.66608589
1994,Colorado,14.14076916,3.99281128,79.15502201
1995,Colorado,14.52932889,3.965998485,78.70143961
1996,Colorado,14.97548962,3.961201764,78.18035435
1997,Colorado,15.49006008,3.965041872,77.57950951
1998,Colorado,16.00740313,4.005209104,76.91568292
1999,Colorado,16.61195007,4.018250751,76.19565274
2000,Colorado,17.22453449,4.045093497,75.41931087
2001,Colorado,17.69824662,4.070690042,74.83771446
2002,Colorado,18.1948581,4.087492311,74.25909818
2003,Colorado,18.59990832,4.071095397,73.81635743
2004,Colorado,18.90145449,4.117605786,73.41301544
