state,year,unemployment_rate
Alabama,1994,6.2
Alabama,1995,5.9
Alabama,1996,5.2
Alabama,1997,5
Alabama,1998,4.4
Alabama,1999,4.7
Alabama,2000,4.6
Alabama,2001,5.1
Alabama,2002,5.9
Alabama,2003,6
Alabama,2004,5.7
Alabama,2005,4.5
Alabama,2006,4
Alabama,2007,4
Alabama,2008,5.7
Alabama,2009,11
Alabama,2010,10.5
Alabama,2011,9.6
Alabama,2012,8
Alaska,1994,7.6
Alaska,1995,7.3
Alaska,1996,7.6
Alaska,1997,7.1
Alaska,1998,6.4
Alaska,1999,6.5
Alaska,2000,6.4
Alaska,2001,6.4
Alaska,2002,7.3
Alaska,2003,7.8
Alaska,2004,7.5
Alaska,2005,6.9
Alaska,2006,6.6
Alaska,2007,6.3
Alaska,2008,6.7
Alaska,2009,7.7
Alaska,2010,7.9
Alaska,2011,7.6
Alaska,2012,7.1
Arizona,1994,6.1
Arizona,1995,5.4
Arizona,1996,5.6
Arizona,1997,4.6
Arizona,1998,4.3
Arizona,1999,4.4
Arizona,2000,4
Arizona,2001,4.8
Arizona,2002,6.1
Arizona,2003,5.7
Arizona,2004,5
Arizona,2005,4.7
Arizona,2006,4.2
Arizona,2007,3.9
Arizona,2008,6.2
Arizona,2009,9.9
Arizona,2010,10.4
Arizona,2011,9.5
Arizona,2012,8.3
Arkansas,1994,5.4
Arkansas,1995,4.8
Arkansas,1996,5.2
Arkansas,1997,5.2
Arkansas,1998,5.2
Arkansas,1999,4.6
Arkansas,2000,4.3
Arkansas,2001,5
Arkansas,2002,5.5
Arkansas,2003,5.9
Arkansas,2004,5.7
Arkansas,2005,5.2
Arkansas,2006,5.2
Arkansas,2007,5.3
Arkansas,2008,5.5
Arkansas,2009,7.8
Arkansas,2010,8.2
Arkansas,2011,8.3
Arkansas,2012,7.6
California,1994,8.6
California,1995,7.9
California,1996,7.3
California,1997,6.4
California,1998,5.9
California,1999,5.2
California,2000,4.9
California,2001,5.4
California,2002,6.7
California,2003,6.8
California,2004,6.2
California,2005,5.4
California,2006,4.9
California,2007,5.4
California,2008,7.3
California,2009,11.2
California,2010,12.2
California,2011,11.7
California,2012,10.4
Colorado,1994,4.2
Colorado,1995,4
Colorado,1996,4.2
Colorado,1997,3.5
Colorado,1998,3.6
Colorado,1999,3.1
Colorado,2000,2.8
Colorado,2001,3.8
Colorado,2002,5.5
Colorado,2003,6
Colorado,2004,5.5
Colorado,2005,5
Colorado,2006,4.3
Colorado,2007,3.7
Colorado,2008,4.8
Colorado,2009,7.3
Colorado,2010,8.7
Colorado,2011,8.4
Colorado,2012,7.9
Connecticut,1994,5.6
Connecticut,1995,5.5
Connecticut,1996,5.5
Connecticut,1997,5
Connecticut,1998,3.4
Connecticut,1999,2.9
Connecticut,2000,2.4
Connecticut,2001,3.1
Connecticut,2002,4.3
Connecticut,2003,5.4
Connecticut,2004,5
Connecticut,2005,4.9
Connecticut,2006,4.3
Connecticut,2007,4.5
Connecticut,2008,5.7
Connecticut,2009,7.9
Connecticut,2010,9.1
Connecticut,2011,8.8
Connecticut,2012,8.3
Delaware,1994,4.8
Delaware,1995,4.3
Delaware,1996,5.1
Delaware,1997,4
Delaware,1998,3.7
Delaware,1999,3.4
Delaware,2000,3.7
Delaware,2001,3.5
Delaware,2002,4
Delaware,2003,4.3
Delaware,2004,4
Delaware,2005,4.1
Delaware,2006,3.6
Delaware,2007,3.4
Delaware,2008,4.9
Delaware,2009,8.3
Delaware,2010,8.4
Delaware,2011,7.5
Delaware,2012,7.2
District of Columbia,1994,8
District of Columbia,1995,8.8
District of Columbia,1996,8.4
District of Columbia,1997,8
District of Columbia,1998,8.4
District of Columbia,1999,6.4
District of Columbia,2000,5.6
District of Columbia,2001,6.3
District of Columbia,2002,6.4
District of Columbia,2003,6.8
District of Columbia,2004,7.8
District of Columbia,2005,6.4
District of Columbia,2006,5.8
District of Columbia,2007,5.5
District of Columbia,2008,6.5
District of Columbia,2009,9.3
District of Columbia,2010,9.4
District of Columbia,2011,10.2
District of Columbia,2012,9
Florida,1994,6.4
Florida,1995,5.5
Florida,1996,5.2
Florida,1997,4.8
Florida,1998,4.3
Florida,1999,3.9
Florida,2000,3.7
Florida,2001,4.7
Florida,2002,5.6
Florida,2003,5.2
Florida,2004,4.6
Florida,2005,3.7
Florida,2006,3.2
Florida,2007,4
Florida,2008,6.3
Florida,2009,10.4
Florida,2010,11.1
Florida,2011,10
Florida,2012,8.5
Georgia,1994,5.2
Georgia,1995,4.8
Georgia,1996,4.7
Georgia,1997,4.5
Georgia,1998,4.3
Georgia,1999,3.9
Georgia,2000,3.6
Georgia,2001,4
Georgia,2002,5
Georgia,2003,4.8
Georgia,2004,4.8
Georgia,2005,5.3
Georgia,2006,4.7
Georgia,2007,4.5
Georgia,2008,6.2
Georgia,2009,9.9
Georgia,2010,10.5
Georgia,2011,10.2
Georgia,2012,9.2
Hawaii,1994,5.5
Hawaii,1995,5.9
Hawaii,1996,6.3
Hawaii,1997,6.2
Hawaii,1998,6.1
Hawaii,1999,5.4
Hawaii,2000,4.2
Hawaii,2001,4.5
Hawaii,2002,4.2
Hawaii,2003,4.1
Hawaii,2004,3.4
Hawaii,2005,2.9
Hawaii,2006,2.6
Hawaii,2007,2.8
Hawaii,2008,4.3
Hawaii,2009,7.2
Hawaii,2010,6.9
Hawaii,2011,6.8
Hawaii,2012,6
Idaho,1994,5.4
Idaho,1995,5.4
Idaho,1996,5.3
Idaho,1997,5.1
Idaho,1998,5.1
Idaho,1999,4.9
Idaho,2000,4.7
Idaho,2001,5.1
Idaho,2002,5.6
Idaho,2003,5.6
Idaho,2004,4.9
Idaho,2005,4
Idaho,2006,3.5
Idaho,2007,3.1
Idaho,2008,5.1
Idaho,2009,8.8
Idaho,2010,9
Idaho,2011,8.3
Idaho,2012,7.2
Illinois,1994,5.7
Illinois,1995,5.2
Illinois,1996,5.3
Illinois,1997,4.8
Illinois,1998,4.4
Illinois,1999,4.4
Illinois,2000,4.3
Illinois,2001,5.3
Illinois,2002,6.5
Illinois,2003,6.8
Illinois,2004,6.2
Illinois,2005,5.7
Illinois,2006,4.5
Illinois,2007,5
Illinois,2008,6.3
Illinois,2009,10.2
Illinois,2010,10.4
Illinois,2011,9.7
Illinois,2012,9
Indiana,1994,4.8
Indiana,1995,4.6
Indiana,1996,4.1
Indiana,1997,3.5
Indiana,1998,3.1
Indiana,1999,3
Indiana,2000,3.1
Indiana,2001,4.2
Indiana,2002,5.2
Indiana,2003,5.3
Indiana,2004,5.4
Indiana,2005,5.5
Indiana,2006,5
Indiana,2007,4.6
Indiana,2008,5.9
Indiana,2009,10.3
Indiana,2010,10.4
Indiana,2011,9.1
Indiana,2012,8.3
Iowa,1994,3.5
Iowa,1995,3.5
Iowa,1996,3.5
Iowa,1997,3.1
Iowa,1998,2.7
Iowa,1999,2.6
Iowa,2000,2.6
Iowa,2001,3.3
Iowa,2002,4
Iowa,2003,4.5
Iowa,2004,4.5
Iowa,2005,4.3
Iowa,2006,3.7
Iowa,2007,3.7
Iowa,2008,4.2
Iowa,2009,6.4
Iowa,2010,6
Iowa,2011,5.5
Iowa,2012,5
Kansas,1994,4.9
Kansas,1995,4.4
Kansas,1996,4.2
Kansas,1997,3.8
Kansas,1998,3.5
Kansas,1999,3.3
Kansas,2000,3.6
Kansas,2001,4.2
Kansas,2002,5.1
Kansas,2003,5.5
Kansas,2004,5.5
Kansas,2005,5
Kansas,2006,4.4
Kansas,2007,4.2
Kansas,2008,4.6
Kansas,2009,6.9
Kansas,2010,7.1
Kansas,2011,6.5
