year,state,urban_residence_percentage
1994,Alabama,60.4
1995,Alabama,60.4
1996,Alabama,55.03269066
1997,Alabama,55.03269066
1998,Alabama,55.03269066
1999,Alabama,55.03269066
2000,Alabama,55.03269066
2001,Alabama,55.03269066
2002,Alabama,55.03269066
2003,Alabama,55.03269066
2004,Alabama,55.03269066
2005,Alabama,55.03269066
2006,Alabama,58.34759535
2007,Alabama,58.34759535
2008,Alabama,58.34759535
2009,Alabama,58.34759535
2010,Alabama,58.34759535
2011,Alabama,58.34759535
2012,Alabama,58.34759535
1994,Alaska,67.5
1995,Alaska,67.5
1996,Alaska,60.47789469
1997,Alaska,60.47789469
1998,Alaska,60.47789469
1999,Alaska,60.47789469
2000,Alaska,60.47789469
2001,Alaska,60.47789469
2002,Alaska,60.47789469
2003,Alaska,60.47789469
2004,Alaska,60.47789469
2005,Alaska,60.47789469
2006,Alaska,59.61194526
2007,Alaska,59.61194526
2008,Alaska,59.61194526
2009,Alaska,59.61194526
2010,Alaska,59.61194526
2011,Alaska,59.61194526
2012,Alaska,59.61194526
1994,Arizona,87.5
1995,Arizona,87.5
1996,Arizona,86.71339021
1997,Arizona,86.71339021
1998,Arizona,86.71339021
1999,Arizona,86.71339021
2000,Arizona,86.71339021
2001,Arizona,86.71339021
2002,Arizona,86.71339021
2003,Arizona,86.71339021
2004,Arizona,86.71339021
2005,Arizona,86.71339021
2006,Arizona,88.43315196
2007,Arizona,88.43315196
2008,Arizona,88.43315196
2009,Arizona,88.43315196
2010,Arizona,88.43315196
2011,Arizona,88.43315196
2012,Arizona,88.43315196
1994,Arkansas,53.5
1995,Arkansas,53.5
1996,Arkansas,52.04165576
1997,Arkansas,52.04165576
1998,Arkansas,52.04165576
1999,Arkansas,52.04165576
2000,Arkansas,52.04165576
2001,Arkansas,52.04165576
2002,Arkansas,52.04165576
2003,Arkansas,52.04165576
2004,Arkansas,52.04165576
2005,Arkansas,52.04165576
2006,Arkansas,54.74318525
2007,Arkansas,54.74318525
2008,Arkansas,54.74318525
2009,Arkansas,54.74318525
2010,Arkansas,54.74318525
2011,Arkansas,54.74318525
2012,Arkansas,54.74318525
1994,California,92.6
1995,California,92.6
1996,California,93.2321529
1997,California,93.2321529
1998,California,93.2321529
1999,California,93.2321529
2000,California,93.2321529
2001,California,93.2321529
2002,California,93.2321529
2003,California,93.2321529
2004,California,93.2321529
2005,California,93.2321529
2006,California,93.67406523
2007,California,93.67406523
2008,California,93.67406523
2009,California,93.67406523
2010,California,93.67406523
2011,California,93.67406523
2012,California,93.67406523
1994,Colorado,82.4
1995,Colorado,82.4
1996,Colorado,81.96458369
1997,Colorado,81.96458369
1998,Colorado,81.96458369
1999,Colorado,81.96458369
2000,Colorado,81.96458369
2001,Colorado,81.96458369
2002,Colorado,81.96458369
2003,Colorado,81.96458369
2004,Colorado,81.96458369
2005,Colorado,81.96458369
2006,Colorado,83.10306214
2007,Colorado,83.10306214
2008,Colorado,83.10306214
2009,Colorado,83.10306214
2010,Colorado,83.10306214
2011,Colorado,83.10306214
2012,Colorado,83.10306214
1994,Connecticut,79.1
1995,Connecticut,79.1
1996,Connecticut,87.92539548
1997,Connecticut,87.92539548
1998,Connecticut,87.92539548
